Date : 2020-08-31 16:39:16
Directory : c:\Users\Default\source\repos\itemper-web\src
Total : 97 files,  6639 codes, 184 comments, 643 blanks, all 7466 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Vue        |         38 |      3,629 |         94 |        335 |      4,058 |
| TypeScript |         58 |      3,009 |         90 |        307 |      3,406 |
| XML        |          1 |          1 |          0 |          1 |          2 |
+------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                      | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                         |         97 |      6,639 |        184 |        643 |      7,466 |
| assets                                                                                                    |          1 |          1 |          0 |          1 |          2 |
| components                                                                                                |         11 |        706 |         29 |         77 |        812 |
| features                                                                                                  |         43 |      3,875 |         74 |        320 |      4,269 |
| features\admin                                                                                            |          5 |        257 |         10 |         29 |        296 |
| features\bluetooth-device                                                                                 |          4 |        286 |          6 |         23 |        315 |
| features\device-settings                                                                                  |          6 |        524 |          0 |         25 |        549 |
| features\devices                                                                                          |         13 |      1,286 |          9 |        110 |      1,405 |
| features\locations                                                                                        |          8 |        872 |         28 |         77 |        977 |
| features\sensors                                                                                          |          3 |        309 |          6 |         17 |        332 |
| features\user                                                                                             |          4 |        341 |         15 |         39 |        395 |
| helpers                                                                                                   |          3 |         70 |          6 |         14 |         90 |
| models                                                                                                    |          8 |        357 |         33 |         47 |        437 |
| plugins                                                                                                   |          1 |          8 |          0 |          1 |          9 |
| services                                                                                                  |         10 |        586 |          1 |         71 |        658 |
| store                                                                                                     |         10 |        786 |         23 |         64 |        873 |
| types                                                                                                     |          6 |        171 |          8 |         28 |        207 |
+-----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                  | language   | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\Users\Default\source\repos\itemper-web\src\app.vue                                                     | Vue        |         34 |          4 |          9 |         47 |
| c:\Users\Default\source\repos\itemper-web\src\assets\logo.svg                                             | XML        |          1 |          0 |          1 |          2 |
| c:\Users\Default\source\repos\itemper-web\src\components\base-text-field.vue                              | Vue        |         67 |          0 |          1 |         68 |
| c:\Users\Default\source\repos\itemper-web\src\components\color-picker.vue                                 | Vue        |         39 |          0 |          1 |         40 |
| c:\Users\Default\source\repos\itemper-web\src\components\error-message.vue                                | Vue        |         30 |          0 |          1 |         31 |
| c:\Users\Default\source\repos\itemper-web\src\components\history-chart.vue                                | Vue        |        178 |          8 |         33 |        219 |
| c:\Users\Default\source\repos\itemper-web\src\components\home-page.vue                                    | Vue        |         20 |          3 |          4 |         27 |
| c:\Users\Default\source\repos\itemper-web\src\components\new-dialogue.vue                                 | Vue        |         60 |          0 |          4 |         64 |
| c:\Users\Default\source\repos\itemper-web\src\components\notice.vue                                       | Vue        |         36 |          0 |          4 |         40 |
| c:\Users\Default\source\repos\itemper-web\src\components\sensors-page.vue                                 | Vue        |         18 |         11 |          5 |         34 |
| c:\Users\Default\source\repos\itemper-web\src\components\settings-page.vue                                | Vue        |         90 |          7 |         12 |        109 |
| c:\Users\Default\source\repos\itemper-web\src\components\toolbar-label.vue                                | Vue        |         27 |          0 |          4 |         31 |
| c:\Users\Default\source\repos\itemper-web\src\components\toolbar.vue                                      | Vue        |        141 |          0 |          8 |        149 |
| c:\Users\Default\source\repos\itemper-web\src\config.ts                                                   | TypeScript |         24 |          0 |          4 |         28 |
| c:\Users\Default\source\repos\itemper-web\src\features\admin\admin-config-card.vue                        | Vue        |         19 |          0 |          3 |         22 |
| c:\Users\Default\source\repos\itemper-web\src\features\admin\admin-log-level-card.vue                     | Vue        |         33 |          3 |          6 |         42 |
| c:\Users\Default\source\repos\itemper-web\src\features\admin\admin-log-level-menu.vue                     | Vue        |        136 |          3 |          8 |        147 |
| c:\Users\Default\source\repos\itemper-web\src\features\admin\admin-node-env-label.vue                     | Vue        |         21 |          0 |          3 |         24 |
| c:\Users\Default\source\repos\itemper-web\src\features\admin\admin-page.vue                               | Vue        |         48 |          4 |          9 |         61 |
| c:\Users\Default\source\repos\itemper-web\src\features\bluetooth-device\available-wifi-characteristics.ts | TypeScript |         61 |          0 |          6 |         67 |
| c:\Users\Default\source\repos\itemper-web\src\features\bluetooth-device\bluetooth-service.ts              | TypeScript |        151 |          5 |          9 |        165 |
| c:\Users\Default\source\repos\itemper-web\src\features\bluetooth-device\current-wifi-characteristic.ts    | TypeScript |         41 |          1 |          4 |         46 |
| c:\Users\Default\source\repos\itemper-web\src\features\bluetooth-device\device-characteristic.ts          | TypeScript |         33 |          0 |          4 |         37 |
| c:\Users\Default\source\repos\itemper-web\src\features\device-settings\device-api-key-setting.vue         | Vue        |         56 |          0 |          6 |         62 |
| c:\Users\Default\source\repos\itemper-web\src\features\device-settings\device-color-setting.vue           | Vue        |         75 |          0 |          3 |         78 |
| c:\Users\Default\source\repos\itemper-web\src\features\device-settings\device-name-setting.vue            | Vue        |         85 |          0 |          3 |         88 |
| c:\Users\Default\source\repos\itemper-web\src\features\device-settings\device-setting.vue                 | Vue        |         70 |          0 |          2 |         72 |
| c:\Users\Default\source\repos\itemper-web\src\features\device-settings\device-settings-list.vue           | Vue        |         29 |          0 |          3 |         32 |
| c:\Users\Default\source\repos\itemper-web\src\features\device-settings\device-wifi-setting.vue            | Vue        |        209 |          0 |          8 |        217 |
| c:\Users\Default\source\repos\itemper-web\src\features\devices\device-card.vue                            | Vue        |        219 |          2 |         22 |        243 |
| c:\Users\Default\source\repos\itemper-web\src\features\devices\device-config.ts                           | TypeScript |         37 |          0 |          1 |         38 |
| c:\Users\Default\source\repos\itemper-web\src\features\devices\device-data-validators.ts                  | TypeScript |         90 |          0 |          3 |         93 |
| c:\Users\Default\source\repos\itemper-web\src\features\devices\device-data.ts                             | TypeScript |         26 |          0 |          2 |         28 |
| c:\Users\Default\source\repos\itemper-web\src\features\devices\device-stepper-content-step1.vue           | Vue        |        361 |          1 |          9 |        371 |
| c:\Users\Default\source\repos\itemper-web\src\features\devices\device-stepper-content-step2.vue           | Vue        |        122 |          1 |          5 |        128 |
| c:\Users\Default\source\repos\itemper-web\src\features\devices\device.ts                                  | TypeScript |         48 |          0 |          4 |         52 |
| c:\Users\Default\source\repos\itemper-web\src\features\devices\devices-page.vue                           | Vue        |         74 |          3 |         24 |        101 |
| c:\Users\Default\source\repos\itemper-web\src\features\devices\index.ts                                   | TypeScript |          2 |          0 |          1 |          3 |
