"filename", "language", "Vue", "TypeScript", "XML", "comment", "blank", "total"
"c:\Users\Default\source\repos\itemper-web\src\app.vue", "Vue", 34, 0, 0, 4, 9, 47
"c:\Users\Default\source\repos\itemper-web\src\assets\logo.svg", "XML", 0, 0, 1, 0, 1, 2
"c:\Users\Default\source\repos\itemper-web\src\components\base-text-field.vue", "Vue", 67, 0, 0, 0, 1, 68
"c:\Users\Default\source\repos\itemper-web\src\components\color-picker.vue", "Vue", 39, 0, 0, 0, 1, 40
"c:\Users\Default\source\repos\itemper-web\src\components\error-message.vue", "Vue", 30, 0, 0, 0, 1, 31
"c:\Users\Default\source\repos\itemper-web\src\components\history-chart.vue", "Vue", 178, 0, 0, 8, 33, 219
"c:\Users\Default\source\repos\itemper-web\src\components\home-page.vue", "Vue", 20, 0, 0, 3, 4, 27
"c:\Users\Default\source\repos\itemper-web\src\components\new-dialogue.vue", "Vue", 60, 0, 0, 0, 4, 64
"c:\Users\Default\source\repos\itemper-web\src\components\notice.vue", "Vue", 36, 0, 0, 0, 4, 40
"c:\Users\Default\source\repos\itemper-web\src\components\sensors-page.vue", "Vue", 18, 0, 0, 11, 5, 34
"c:\Users\Default\source\repos\itemper-web\src\components\settings-page.vue", "Vue", 90, 0, 0, 7, 12, 109
"c:\Users\Default\source\repos\itemper-web\src\components\toolbar-label.vue", "Vue", 27, 0, 0, 0, 4, 31
"c:\Users\Default\source\repos\itemper-web\src\components\toolbar.vue", "Vue", 141, 0, 0, 0, 8, 149
"c:\Users\Default\source\repos\itemper-web\src\config.ts", "TypeScript", 0, 24, 0, 0, 4, 28
"c:\Users\Default\source\repos\itemper-web\src\features\admin\admin-config-card.vue", "Vue", 19, 0, 0, 0, 3, 22
"c:\Users\Default\source\repos\itemper-web\src\features\admin\admin-log-level-card.vue", "Vue", 33, 0, 0, 3, 6, 42
"c:\Users\Default\source\repos\itemper-web\src\features\admin\admin-log-level-menu.vue", "Vue", 136, 0, 0, 3, 8, 147
"c:\Users\Default\source\repos\itemper-web\src\features\admin\admin-node-env-label.vue", "Vue", 21, 0, 0, 0, 3, 24
"c:\Users\Default\source\repos\itemper-web\src\features\admin\admin-page.vue", "Vue", 48, 0, 0, 4, 9, 61
"c:\Users\Default\source\repos\itemper-web\src\features\bluetooth-device\available-wifi-characteristics.ts", "TypeScript", 0, 61, 0, 0, 6, 67
"c:\Users\Default\source\repos\itemper-web\src\features\bluetooth-device\bluetooth-service.ts", "TypeScript", 0, 151, 0, 5, 9, 165
"c:\Users\Default\source\repos\itemper-web\src\features\bluetooth-device\current-wifi-characteristic.ts", "TypeScript", 0, 41, 0, 1, 4, 46
"c:\Users\Default\source\repos\itemper-web\src\features\bluetooth-device\device-characteristic.ts", "TypeScript", 0, 33, 0, 0, 4, 37
"c:\Users\Default\source\repos\itemper-web\src\features\device-settings\device-api-key-setting.vue", "Vue", 56, 0, 0, 0, 6, 62
"c:\Users\Default\source\repos\itemper-web\src\features\device-settings\device-color-setting.vue", "Vue", 75, 0, 0, 0, 3, 78
"c:\Users\Default\source\repos\itemper-web\src\features\device-settings\device-name-setting.vue", "Vue", 85, 0, 0, 0, 3, 88
"c:\Users\Default\source\repos\itemper-web\src\features\device-settings\device-setting.vue", "Vue", 70, 0, 0, 0, 2, 72
"c:\Users\Default\source\repos\itemper-web\src\features\device-settings\device-settings-list.vue", "Vue", 29, 0, 0, 0, 3, 32
"c:\Users\Default\source\repos\itemper-web\src\features\device-settings\device-wifi-setting.vue", "Vue", 209, 0, 0, 0, 8, 217
"c:\Users\Default\source\repos\itemper-web\src\features\devices\device-card.vue", "Vue", 219, 0, 0, 2, 22, 243
"c:\Users\Default\source\repos\itemper-web\src\features\devices\device-config.ts", "TypeScript", 0, 37, 0, 0, 1, 38
"c:\Users\Default\source\repos\itemper-web\src\features\devices\device-data-validators.ts", "TypeScript", 0, 90, 0, 0, 3, 93
"c:\Users\Default\source\repos\itemper-web\src\features\devices\device-data.ts", "TypeScript", 0, 26, 0, 0, 2, 28
"c:\Users\Default\source\repos\itemper-web\src\features\devices\device-stepper-content-step1.vue", "Vue", 361, 0, 0, 1, 9, 371
"c:\Users\Default\source\repos\itemper-web\src\features\devices\device-stepper-content-step2.vue", "Vue", 122, 0, 0, 1, 5, 128
"c:\Users\Default\source\repos\itemper-web\src\features\devices\device.ts", "TypeScript", 0, 48, 0, 0, 4, 52
"c:\Users\Default\source\repos\itemper-web\src\features\devices\devices-page.vue", "Vue", 74, 0, 0, 3, 24, 101
"c:\Users\Default\source\repos\itemper-web\src\features\devices\index.ts", "TypeScript", 0, 2, 0, 0, 1, 3
"c:\Users\Default\source\repos\itemper-web\src\features\devices\new-device-stepper.vue", "Vue", 75, 0, 0, 0, 5, 80
"c:\Users\Default\source\repos\itemper-web\src\features\devices\new-device.vue", "Vue", 143, 0, 0, 2, 17, 162
"c:\Users\Default\source\repos\itemper-web\src\features\devices\use-bluetooth.ts", "TypeScript", 0, 56, 0, 0, 9, 65
"c:\Users\Default\source\repos\itemper-web\src\features\devices\use-device-state.ts", "TypeScript", 0, 33, 0, 0, 8, 41
"c:\Users\Default\source\repos\itemper-web\src\features\locations\index.ts", "TypeScript", 0, 6, 0, 0, 2, 8
"c:\Users\Default\source\repos\itemper-web\src\features\locations\location-card.vue", "Vue", 415, 0, 0, 18, 30, 463
"c:\Users\Default\source\repos\itemper-web\src\features\locations\location-data.ts", "TypeScript", 0, 8, 0, 0, 1, 9
"c:\Users\Default\source\repos\itemper-web\src\features\locations\location-page.vue", "Vue", 31, 0, 0, 3, 12, 46
"c:\Users\Default\source\repos\itemper-web\src\features\locations\location-sensor-table.vue", "Vue", 98, 0, 0, 4, 10, 112
"c:\Users\Default\source\repos\itemper-web\src\features\locations\location-service.ts", "TypeScript", 0, 69, 0, 1, 4, 74
"c:\Users\Default\source\repos\itemper-web\src\features\locations\location.ts", "TypeScript", 0, 70, 0, 0, 1, 71
"c:\Users\Default\source\repos\itemper-web\src\features\locations\new-location-card.vue", "Vue", 175, 0, 0, 2, 17, 194
"c:\Users\Default\source\repos\itemper-web\src\features\sensors\mock-sensor-service.ts", "TypeScript", 0, 83, 0, 0, 2, 85
"c:\Users\Default\source\repos\itemper-web\src\features\sensors\sensors-page.vue", "Vue", 54, 0, 0, 0, 5, 59
"c:\Users\Default\source\repos\itemper-web\src\features\sensors\sensors-store.ts", "TypeScript", 0, 172, 0, 6, 10, 188
"c:\Users\Default\source\repos\itemper-web\src\features\user\user-login-card.vue", "Vue", 122, 0, 0, 4, 11, 137
"c:\Users\Default\source\repos\itemper-web\src\features\user\user-login-page.vue", "Vue", 37, 0, 0, 3, 6, 46
"c:\Users\Default\source\repos\itemper-web\src\features\user\user-register-card.vue", "Vue", 148, 0, 0, 4, 14, 166
"c:\Users\Default\source\repos\itemper-web\src\features\user\user-register-page.vue", "Vue", 34, 0, 0, 4, 8, 46
"c:\Users\Default\source\repos\itemper-web\src\helpers\index.ts", "TypeScript", 0, 2, 0, 0, 1, 3
"c:\Users\Default\source\repos\itemper-web\src\helpers\router.ts", "TypeScript", 0, 43, 0, 6, 9, 58
"c:\Users\Default\source\repos\itemper-web\src\helpers\utils.ts", "TypeScript", 0, 25, 0, 0, 4, 29
"c:\Users\Default\source\repos\itemper-web\src\main.ts", "TypeScript", 0, 18, 0, 6, 7, 31
"c:\Users\Default\source\repos\itemper-web\src\models\admin-data.ts", "TypeScript", 0, 4, 0, 0, 3, 7
"c:\Users\Default\source\repos\itemper-web\src\models\admin.ts", "TypeScript", 0, 1, 0, 0, 3, 4
"c:\Users\Default\source\repos\itemper-web\src\models\credentials.ts", "TypeScript", 0, 57, 0, 0, 15, 72
"c:\Users\Default\source\repos\itemper-web\src\models\position.ts", "TypeScript", 0, 31, 0, 0, 9, 40
"c:\Users\Default\source\repos\itemper-web\src\models\sensor-data-validators.ts", "TypeScript", 0, 118, 0, 0, 2, 120
"c:\Users\Default\source\repos\itemper-web\src\models\sensor-data.ts", "TypeScript", 0, 32, 0, 17, 7, 56
"c:\Users\Default\source\repos\itemper-web\src\models\sensor-proxy.ts", "TypeScript", 0, 28, 0, 0, 4, 32
"c:\Users\Default\source\repos\itemper-web\src\models\sensor.ts", "TypeScript", 0, 86, 0, 16, 4, 106
"c:\Users\Default\source\repos\itemper-web\src\plugins\vuetify.ts", "TypeScript", 0, 8, 0, 0, 1, 9
"c:\Users\Default\source\repos\itemper-web\src\services\admin-service.ts", "TypeScript", 0, 21, 0, 0, 5, 26
"c:\Users\Default\source\repos\itemper-web\src\services\api-service.ts", "TypeScript", 0, 141, 0, 0, 10, 151
"c:\Users\Default\source\repos\itemper-web\src\services\device-service.ts", "TypeScript", 0, 36, 0, 0, 6, 42
"c:\Users\Default\source\repos\itemper-web\src\services\event-service.ts", "TypeScript", 0, 26, 0, 0, 4, 30
"c:\Users\Default\source\repos\itemper-web\src\services\itemper.ts", "TypeScript", 0, 23, 0, 0, 2, 25
"c:\Users\Default\source\repos\itemper-web\src\services\logger.ts", "TypeScript", 0, 43, 0, 0, 5, 48
"c:\Users\Default\source\repos\itemper-web\src\services\monitor.ts", "TypeScript", 0, 103, 0, 1, 17, 121
"c:\Users\Default\source\repos\itemper-web\src\services\sensor-service.ts", "TypeScript", 0, 62, 0, 0, 8, 70
"c:\Users\Default\source\repos\itemper-web\src\services\storage-service.ts", "TypeScript", 0, 27, 0, 0, 8, 35
"c:\Users\Default\source\repos\itemper-web\src\services\websocket-service.ts", "TypeScript", 0, 104, 0, 0, 6, 110
"c:\Users\Default\source\repos\itemper-web\src\store\admin.ts", "TypeScript", 0, 61, 0, 0, 4, 65
"c:\Users\Default\source\repos\itemper-web\src\store\base-store.ts", "TypeScript", 0, 17, 0, 0, 6, 23
"c:\Users\Default\source\repos\itemper-web\src\store\devices.ts", "TypeScript", 0, 97, 0, 0, 4, 101
"c:\Users\Default\source\repos\itemper-web\src\store\locations.ts", "TypeScript", 0, 195, 0, 2, 8, 205
"c:\Users\Default\source\repos\itemper-web\src\store\messages.ts", "TypeScript", 0, 6, 0, 0, 1, 7
"c:\Users\Default\source\repos\itemper-web\src\store\notice.ts", "TypeScript", 0, 28, 0, 0, 2, 30
"c:\Users\Default\source\repos\itemper-web\src\store\sensors.ts", "TypeScript", 0, 184, 0, 20, 13, 217
"c:\Users\Default\source\repos\itemper-web\src\store\settings.ts", "TypeScript", 0, 39, 0, 0, 13, 52
"c:\Users\Default\source\repos\itemper-web\src\store\store.ts", "TypeScript", 0, 82, 0, 1, 9, 92
"c:\Users\Default\source\repos\itemper-web\src\store\user.ts", "TypeScript", 0, 77, 0, 0, 4, 81
"c:\Users\Default\source\repos\itemper-web\src\types\kalmanjs.d.ts", "TypeScript", 0, 1, 0, 0, 0, 1
"c:\Users\Default\source\repos\itemper-web\src\types\shims-tsx.d.ts", "TypeScript", 0, 10, 0, 2, 2, 14
"c:\Users\Default\source\repos\itemper-web\src\types\shims-vue.d.ts", "TypeScript", 0, 4, 0, 0, 1, 5
"c:\Users\Default\source\repos\itemper-web\src\types\shims-web-bluetooth.d.ts", "TypeScript", 0, 149, 0, 6, 23, 178
"c:\Users\Default\source\repos\itemper-web\src\types\store-shims..d.ts", "TypeScript", 0, 6, 0, 0, 2, 8
"c:\Users\Default\source\repos\itemper-web\src\types\vue-highcharts.d.ts", "TypeScript", 0, 1, 0, 0, 0, 1
"c:\Users\Default\source\repos\itemper-web\src\vue__web-component-wrapper.d.ts", "TypeScript", 0, 3, 0, 0, 0, 3
"Total", "-", 3629, 3009, 1, 184, 643, 7466
