filename, language, Vue, TypeScript, XML, comment, blank, total
e:\gitrepos\Dev\iTemper-Web\src\app.vue, Vue, 32, 0, 0, 2, 10, 44
e:\gitrepos\Dev\iTemper-Web\src\assets\logo.svg, XML, 0, 0, 1, 0, 1, 2
e:\gitrepos\Dev\iTemper-Web\src\components\deviceCard.vue, Vue, 204, 0, 0, 2, 23, 229
e:\gitrepos\Dev\iTemper-Web\src\components\historyChart.vue, Vue, 177, 0, 0, 8, 34, 219
e:\gitrepos\Dev\iTemper-Web\src\components\home.vue, Vue, 12, 0, 0, 0, 3, 15
e:\gitrepos\Dev\iTemper-Web\src\components\locationCard.vue, Vue, 432, 0, 0, 6, 29, 467
e:\gitrepos\Dev\iTemper-Web\src\components\login.vue, Vue, 136, 0, 0, 0, 18, 154
e:\gitrepos\Dev\iTemper-Web\src\components\mydevices.vue, Vue, 76, 0, 0, 3, 26, 105
e:\gitrepos\Dev\iTemper-Web\src\components\mylocations.vue, Vue, 50, 0, 0, 3, 14, 67
e:\gitrepos\Dev\iTemper-Web\src\components\mysensors.vue, Vue, 18, 0, 0, 11, 5, 34
e:\gitrepos\Dev\iTemper-Web\src\components\mysettings.vue, Vue, 90, 0, 0, 7, 12, 109
e:\gitrepos\Dev\iTemper-Web\src\components\new-device-dialogue.vue, Vue, 151, 0, 0, 2, 20, 173
e:\gitrepos\Dev\iTemper-Web\src\components\new-location-dialogue.vue, Vue, 191, 0, 0, 2, 17, 210
e:\gitrepos\Dev\iTemper-Web\src\components\notice.vue, Vue, 36, 0, 0, 0, 4, 40
e:\gitrepos\Dev\iTemper-Web\src\components\register.vue, Vue, 160, 0, 0, 0, 17, 177
e:\gitrepos\Dev\iTemper-Web\src\components\sensorTable.vue, Vue, 90, 0, 0, 4, 12, 106
e:\gitrepos\Dev\iTemper-Web\src\components\toolbar.vue, Vue, 115, 0, 0, 0, 7, 122
e:\gitrepos\Dev\iTemper-Web\src\config.ts, TypeScript, 0, 2, 0, 2, 2, 6
e:\gitrepos\Dev\iTemper-Web\src\helpers\index.ts, TypeScript, 0, 2, 0, 0, 1, 3
e:\gitrepos\Dev\iTemper-Web\src\helpers\router.ts, TypeScript, 0, 39, 0, 1, 10, 50
e:\gitrepos\Dev\iTemper-Web\src\helpers\utils.ts, TypeScript, 0, 25, 0, 0, 4, 29
e:\gitrepos\Dev\iTemper-Web\src\kalmanjs.d.ts, TypeScript, 0, 1, 0, 0, 0, 1
e:\gitrepos\Dev\iTemper-Web\src\main.ts, TypeScript, 0, 18, 0, 0, 5, 23
e:\gitrepos\Dev\iTemper-Web\src\models\credentials.ts, TypeScript, 0, 57, 0, 0, 15, 72
e:\gitrepos\Dev\iTemper-Web\src\models\device.ts, TypeScript, 0, 35, 0, 7, 11, 53
e:\gitrepos\Dev\iTemper-Web\src\models\location.ts, TypeScript, 0, 67, 0, 7, 6, 80
e:\gitrepos\Dev\iTemper-Web\src\models\position.ts, TypeScript, 0, 31, 0, 0, 9, 40
e:\gitrepos\Dev\iTemper-Web\src\models\sensor.ts, TypeScript, 0, 89, 0, 25, 13, 127
e:\gitrepos\Dev\iTemper-Web\src\plugins\vuetify.ts, TypeScript, 0, 9, 0, 0, 3, 12
e:\gitrepos\Dev\iTemper-Web\src\services\api-service.ts, TypeScript, 0, 124, 0, 0, 13, 137
e:\gitrepos\Dev\iTemper-Web\src\services\device-service.ts, TypeScript, 0, 36, 0, 0, 6, 42
e:\gitrepos\Dev\iTemper-Web\src\services\itemper.ts, TypeScript, 0, 16, 0, 0, 2, 18
e:\gitrepos\Dev\iTemper-Web\src\services\location-service.ts, TypeScript, 0, 67, 0, 1, 6, 74
e:\gitrepos\Dev\iTemper-Web\src\services\logger.ts, TypeScript, 0, 13, 0, 10, 4, 27
